title,description,search
"Access - High or Critical Priority Individual Logging into Infected Machine - Rule","Detects users with a high or critical priority logging into a malware infected machine","
 tstats values(Authentication.user) as ""user"" from datamodel=Authentication.Authentication where earliest=-70m@m latest=+0s nodename=Authentication.Successful_Authentication (""Authentication.user_priority""=""high"" OR ""Authentication.user_priority""=""critical"") by ""Authentication.dest"" 
 rename ""Authentication.dest"" as ""dest"" 
 eval cs_key='dest' 
 join type=inner cs_key [
 tstats summariesonly=false values(Malware_Attacks.signature) as ""signature"" from datamodel=Malware.Malware_Attacks where earliest=-1450m@m latest=+0s nodename=Malware_Attacks.Allowed_Malware  by ""Malware_Attacks.dest"" 
 rename ""Malware_Attacks.dest"" as ""dest"" 
 eval cs_key='dest']"
"Access - Privileged Account Usage Over Time",,"
 tstasts count from datamodel=Authentication.Authentication where nodename=Authentication.Privileged_Authentication by _time span=1h 
 timechart span=1h count"
"Access - Privileged Accounts In Use",,"
 tstats values(Authentication.user_category) as user_category,dc(Authentication.dest) as dest_count,max(_time) as lastTime from datamodel=Authentication.Authentication where Authentication.user_category=privileged by Authentication.user 
 `drop_dm_object_name(""Authentication"")` 
 sort 100 - lastTime 
 `uitime(lastTime)`"
"Access - Short-lived Account Detected - Rule","Detects when a account or credential is created and then removed a short time later. This may be an indication of malicious activities.","
 tstats count from datamodel=Change.All_Changes where nodename=""All_Changes.Account_Management"" (All_Changes.action=""created"" OR All_Changes.action=""deleted"") by _time,All_Changes.dest,All_Changes.user span=1s 
 `drop_dm_object_name(""All_Changes"")` 
 streamstats range(_time) as delta,sum(count) as count by user,dest window=2 global=f 
 where count>1 AND delta<`useraccount_minimal_lifetime` 
 `uptime2string(delta,timestr)` 
 table user, dest, delta, timestr"
"Access - Top Access By Destination",,"
 tstats count from datamodel=Authentication.Authentication by _time,Authentication.dest span=1h 
 `drop_dm_object_name(""Authentication"")` 
 stats sparkline(sum(count),1h) as sparkline,sum(count) as count by dest 
 sort - count"
"Access - Top Access By Source",,"
 tstats count from datamodel=Authentication.Authentication by _time,Authentication.src span=1h 
 `drop_dm_object_name(""Authentication"")` 
 stats sparkline(sum(count),1h) as sparkline,sum(count) as count by src 
 sort - count"
"Access - Unique Access By App Count",,"
 tstats values(Authentication.app) as app,count from datamodel=Authentication.Authentication by _time,Authentication.src span=1h 
 `drop_dm_object_name(""Authentication"")` 
 stats sparkline(sum(count),1h) as sparkline,dc(app) as app_count by src 
 sort - app_count"
"Access - Unique Access By Destination Count",,"
 tstats values(Authentication.dest) as dest,count from datamodel=Authentication.Authentication by _time,Authentication.src span=1h 
 `drop_dm_object_name(""Authentication"")` 
 stats sparkline(sum(count),1h) as sparkline,dc(dest) as dest_count by src 
 sort - dest_count"
"Access - Unique Access By User Count",,"
 tstats values(Authentication.user) as user,count from datamodel=Authentication.Authentication by _time,Authentication.src span=1h 
 `drop_dm_object_name(""Authentication"")` 
 stats sparkline(sum(count),1h) as sparkline,dc(user) as user_count by src 
 sort - user_count"
"App State - Ports By System Count",,"
 tstats dc(Ports.dest) as dest_count from datamodel=Endpoint.Ports by Ports.transport,Ports.dest_port 
 `drop_dm_object_name(""Ports"")` 
 sort 100 - dest_count"
"App State - Processes By System Count",,"
 tstats max(_time) as _time from datamodel=Endpoint.Processes by Processes.dest,Processes.process_name 
 `drop_dm_object_name(""Processes"")` 
 eventstats max(_time) as lastReportTime by dest 
 where _time==lastReportTime 
 stats dc(dest) as dest_count by process_name 
 sort 100 - dest_count"
"App State - Services By System Count",,"
 tstats dc(Services.dest) as dest_count from datamodel=Endpoint.Services by Services.service 
 `drop_dm_object_name(""Services"")` 
 sort 100 - dest_count"
"App State - Systems By Port Count",,"
 tstats dc(Ports.transport_dest_port) as port_count from datamodel=Endpoint.Ports by Ports.dest 
 `drop_dm_object_name(""Ports"")` 
 sort 10 - port_count"
"App State - Systems By Process Count",,"
 tstats max(_time) as _time from datamodel=Endpoint.Processes by Processes.dest,Processes.process 
 `drop_dm_object_name(""Processes"")` 
 eventstats max(_time) as lastReportTime by dest 
 where _time==lastReportTime 
 stats dc(process) as process_count by dest 
 sort 10 - process_count"
"App State - Systems By Service Count",,"
 tstats dc(Services.service) as service_count from datamodel=Endpoint.Services by Services.dest 
 `drop_dm_object_name(""Services"")` 
 sort 10 - service_count"
"Audit - ES View Activity Over Time",,"
 tstasts count from datamodel=Splunk_Audit.View_Activity where `es_context_only(""View_Activity"")` by _time,View_Activity.view span=1h 
 timechart span=1h useother=`useother` count by View_Activity.view 
 `drop_dm_object_name(""View_Activity"")`"
"Audit - Searches Over Time By Type",,"
 tstasts count from datamodel=Splunk_Audit.Search_Activity where (Search_Activity.info=""granted"" OR (Search_Activity.info=""completed"" Search_Activity.search_type=""subsearch"")) by _time,Search_Activity.search_type span=10m 
 timechart minspan=10m count by Search_Activity.search_type"
"Audit - Searches Over Time By User",,"
 tstats count from datamodel=Splunk_Audit.Search_Activity where (Search_Activity.info=""granted"" OR (Search_Activity.info=""completed"" Search_Activity.search_type=""subsearch"")) by Search_Activity.user 
 rename Search_Activity.* as * 
 sort 10 - count"
"Audit - Splunk Service Start Mode Anomalies",,"
 tstats max(_time) as _time,latest(Services.start_mode) as start_mode,latest(Services.status) as status from datamodel=Endpoint.Services where (Services.service=splunkd OR Services.service=splunk) by Services.dest 
 `drop_dm_object_name(""Services"")` 
 search start_mode!=auto 
 sort 100 + start_mode 
 fields _time,dest,start_mode,status"
"Audit - Splunkd Process Utilization",,"
 tstats avg(Processes.cpu_load_percent) as avg_cpu_load,avg(Processes.mem_used) as avg_mem_used from datamodel=Endpoint.Processes where Processes.process=*splunkd* by Processes.dest 
 `drop_dm_object_name(""Processes"")` 
 eval ""avg_cpu_load (%)""=floor(avg_cpu_load) 
 eval ""avg_mem_used (MB)""=floor(avg_mem_used/1048576) 
 fields - avg_cpu_load,avg_mem_used 
 sort 100 - ""avg_cpu_load (%)"""
"Audit - Top Searches By Run Time",,"
 tstats first(Search_Activity.search_alias) as search_alias,first(Search_Activity.search) as search,first(Search_Activity.total_run_time) as run_time,first(Search_Activity.user) as user from datamodel=Splunk_Audit.Search_Activity by Search_Activity.search_id 
 stats first(search_alias) as ""search alias"",min(run_time),avg(run_time),max(run_time),values(user) as user,count by search 
 eval ""min(run_time)""=round('min(run_time)', 1),""avg(run_time)""=round('avg(run_time)', 1),""max(run_time)""=round('max(run_time)', 1) 
 sort 500 - ""avg(run_time)"""
"Change - Abnormally High Number of Endpoint Changes By User - Rule","Detects an abnormally high number of endpoint changes by user account, as they relate to restarts, audits, filesystem, user, and registry modifications.","
 tstasts count from datamodel=Endpoint.Filesystem where Filesystem.tag=""change"" by Filesystem.user 
 eval change_type=""filesystem"",user='Filesystem.user' 
 tstasts append=T count from datamodel=Endpoint.Registry where Registry.tag=""change"" by Registry.user 
 eval change_type=if(isnull(change_type),""registry"",change_type),user=if(isnull(user),'Registry.user',user) 
 tstasts append=T count from datamodel=Change.All_Changes where nodename=""All_Changes.Endpoint_Changes"" by All_Changes.change_type,All_Changes.user 
 eval change_type=if(isnull(change_type),'All_Changes.change_type',change_type),user=if(isnull(user),'All_Changes.user',user) 
 stats count as change_count by change_type,user  
 `mltk_apply_upper(""app:change_count_by_user_by_change_type_1d"", ""extreme"", ""change_count"")`"
"Change - Account Lockouts",,"
 tstats count from datamodel=Change.All_Changes where nodename=All_Changes.Account_Management All_Changes.result=""lockout"" by All_Changes.src,All_Changes.Account_Management.src_nt_domain,All_Changes.user 
 sort 100 - count 
 `drop_dm_object_name(""All_Changes"")` 
`drop_dm_object_name(""Account_Management"")`"
"Change - Account Management By Source User",,"
 tstats count from datamodel=Change.All_Changes where nodename=All_Changes.Account_Management by All_Changes.Account_Management.src_user
 `drop_dm_object_name(""All_Changes"")` 
 `drop_dm_object_name(""Account_Management"")` 
 sort 10 - count"
"Change - Account Management Over Time By Action",,"
 tstasts count from datamodel=Change.All_Changes where nodename=All_Changes.Account_Management by _time,All_Changes.action span=10m 
 timechart minspan=10m useother=`useother` count by All_Changes.action 
 `drop_dm_object_name(""All_Changes"")`"
"Change - Endpoint Changes By Action",,"
 tstasts count from datamodel=Endpoint.Filesystem where Filesystem.tag=""change"" by Filesystem.action 
 eval action='Filesystem.action' 
 tstasts append=T count from datamodel=Endpoint.Registry where Registry.tag=""change"" by Registry.action 
 eval action=if(isnull(action),'Registry.action',action) 
 tstasts append=T count from datamodel=Change.All_Changes where nodename=""All_Changes.Endpoint_Changes"" by All_Changes.action 
 eval action=if(isnull(action),'All_Changes.action',action) 
 timechart minspan=10m useother=`useother` count by action"
"Change - Endpoint Changes By System",,"
 tstasts count from datamodel=Endpoint.Filesystem where Filesystem.tag=""change"" by _time,Filesystem.dest 
 eval object_category=""file"",dest='Filesystem.dest' 
 tstasts append=T count from datamodel=Endpoint.Registry where Registry.tag=""change"" by _time,Registry.dest 
 eval object_category=if(isnull(object_category),""registry"",object_category),dest=if(isnull(dest),'Registry.dest',dest) 
 tstasts append=T count from datamodel=Change.All_Changes where nodename=""All_Changes.Endpoint_Changes"" by _time,All_Changes.object_category,All_Changes.dest 
 eval object_category=if(isnull(object_category),'All_Changes.object_category',object_category),dest=if(isnull(dest),'All_Changes.dest',dest) 
 stats count by _time,object_category,dest 
 stats sparkline(sum(count)) as sparkline,values(object_category) as object_category,sum(count) as count by dest 
 sort 100 - count"
"Change - Endpoint Changes By Type",,"
 tstasts count from datamodel=Endpoint.Filesystem where Filesystem.tag=""change"" 
 eval object_category=""file"" 
 tstasts append=T count from datamodel=Endpoint.Registry where Registry.tag=""change"" 
 eval object_category=if(isnull(object_category),""registry"",object_category) 
 tstasts append=T count from datamodel=Change.All_Changes where nodename=""All_Changes.Endpoint_Changes"" by All_Changes.object_category 
 eval object_category=if(isnull(object_category),'All_Changes.object_category',object_category) 
 stats count by object_category 
 sort 10 - count"
"Change - Network Changes By Action",,"
 tstasts count from datamodel=Change.All_Changes where nodename=All_Changes.Network_Changes by _time,All_Changes.action span=10m 
 timechart minspan=10m useother=`useother` count by All_Changes.action 
 `drop_dm_object_name(""All_Changes"")`"
"Change - Network Changes By Device",,"
 tstats count from datamodel=Change.All_Changes where nodename=All_Changes.Network_Changes by All_Changes.dvc 
 `drop_dm_object_name(""All_Changes"")`"
"Change - Top Account Management Events",,"
 tstats count from datamodel=Change.All_Changes where nodename=All_Changes.Account_Management by _time,All_Changes.action span=1h 
 `drop_dm_object_name(""All_Changes"")` 
 stats sparkline(sum(count),1h) as sparkline,sum(count) as count by action 
 sort 10 - count"
"Change - Total Change Count By User By Change Type Per Day - Model Gen",,"
 tstasts count from datamodel=Endpoint.Filesystem where Filesystem.tag=""change"" by _time,Filesystem.user span=24h 
 eval change_type=""filesystem"",user='Filesystem.user' 
 tstasts append=T count from datamodel=Endpoint.Registry where Registry.tag=""change"" by _time,Registry.user span=24h 
 eval change_type=if(isnull(change_type),""registry"",change_type),user=if(isnull(user),'Registry.user',user) 
 tstasts append=T count from datamodel=Change.All_Changes by _time,All_Changes.change_type,All_Changes.user span=24h 
 eval change_type=if(isnull(change_type),'All_Changes.change_type',change_type),user=if(isnull(user),'All_Changes.user',user) 
 stats count as change_count by _time,change_type,user 
 fit DensityFunction change_count by change_type partial_fit=true dist=norm into app:change_count_by_user_by_change_type_1d"
"CIM - Vendor Product Tracker - Lookup Gen","Maintains a list of vendor_product values and the first and list time they have been seen","
 tstats prestats=true min(_time),max(_time) from datamodel=Malware.Malware_Attacks by Malware_Attacks.vendor_product 
 `drop_dm_object_name(""Malware_Attacks"")` 
 eval model=""Malware"" 
 tstats prestats=true append=true min(_time),max(_time) from datamodel=Network_Traffic.All_Traffic by All_Traffic.vendor_product 
 `drop_dm_object_name(""All_Traffic"")` 
 eval model=if(isnull(model),""Network_Traffic"",model) 
 tstats prestats=true append=true min(_time),max(_time) from datamodel=Intrusion_Detection.IDS_Attacks by IDS_Attacks.vendor_product 
 `drop_dm_object_name(""IDS_Attacks"")` 
 eval model=if(isnull(model),""Intrusion_Detection"",model) 
 tstats prestats=true append=true min(_time),max(_time) from datamodel=Vulnerabilities.Vulnerabilities by Vulnerabilities.vendor_product 
 `drop_dm_object_name(""Vulnerabilities"")` 
 eval model=if(isnull(model),""Vulnerabilities"",model) 
 stats min(_time) as firstTime,max(_time) as lastTime by vendor_product,model 
 inputlookup append=true cim_vendor_product_tracker 
 stats min(firstTime) as firstTime,max(lastTime) as lastTime by vendor_product,model 
 outputlookup override_if_empty=false cim_vendor_product_tracker 
 stats count"
"Endpoint - Emails By Destination Count - Model Gen",,"
 tstats summariesonly=false dc(All_Email.dest) as dest_count from datamodel=Email.All_Email where NOT All_Email.src_category=""email_servers"" by ""All_Email.src"",_time span=1h 
 fit DensityFunction dest_count partial_fit=true dist=norm into app:destinations_by_src_1h"
"Endpoint - Emails By Source - Model Gen",,"
 tstats summariesonly=false sum(All_Email.recipient_count) as recipient_count from datamodel=Email.All_Email where NOT All_Email.src_category=""email_servers"" by ""All_Email.src"",_time span=1h 
 fit DensityFunction recipient_count partial_fit=true dist=norm into app:recipients_by_src_1h"
"Endpoint - High Number Of Infected Hosts - Rule","Alerts when a high total number of infected hosts is discovered.","
 tstats estdc(""Malware_Attacks.dest"") as ""infected_hosts"" from datamodel=""Malware"".""Malware_Attacks""    
 where 'infected_hosts'>100 
 eval const_dedup_id=""const_dedup_id"""
"Endpoint - Host Sending Excessive Email - Rule","Alerts when an host not designated as an e-mail server sends excessive e-mail to one or more target hosts.","
 tstats sum(All_Email.recipient_count) as recipient_count,dc(All_Email.dest) as dest_count from datamodel=Email.All_Email where NOT All_Email.src_category=""email_servers"" by ""All_Email.src"",_time span=1h 
 `drop_dm_object_name(""All_Email"")` 
 apply app:recipients_by_src_1h [
`get_qualitative_upper_threshold(high)`] 
 apply app:destinations_by_src_1h [
`get_qualitative_upper_threshold(high)`] 
 search ""IsOutlier(recipient_count)""=1 OR ""IsOutlier(dest_count)""=1"
"Endpoint - Host With Excessive Number Of Listening Ports - Rule","Alerts when host has a high number of listening services. This may be an indication that the device is running services that are not necessary (such as a default installation of a server) or is not running a firewall.","
 tstats dc(""Ports.transport_dest_port"") as ""port_count"" from datamodel=""Endpoint"".""Ports""  by ""Ports.dest"" 
 rename ""Ports.dest"" as ""dest"" 
 where 'port_count'>20"
"Endpoint - Host With Excessive Number Of Processes - Rule","Alerts when host has a high number of processes. This may be due to an infection or a runaway process.","
 tstats max(_time) as _time from datamodel=Endpoint.Processes by Processes.dest,Processes.process 
 `drop_dm_object_name(""Processes"")` 
 eventstats max(_time) as lastReportTime by dest 
 where _time==lastReportTime 
 stats dc(process) as process_count by dest 
 search process_count>200"
"Endpoint - Host With Excessive Number Of Services - Rule","Alerts when host has a high number of services. This may be an indication that the device is running services that are not necessary (such as a default installation of a server).","
 tstats dc(""Services.service"") as ""service_count"" from datamodel=""Endpoint"".""Services""  by ""Services.dest"" 
 rename ""Services.dest"" as ""dest"" 
 where 'service_count'>100"
"Endpoint - Host With Multiple Infections - Rule","Alerts when a host with multiple infections is discovered.","
 tstats dc(""Malware_Attacks.signature"") as ""infection_count"" from datamodel=""Malware"".""Malware_Attacks""   by ""Malware_Attacks.dest"" 
 rename ""Malware_Attacks.dest"" as ""dest"" 
 where 'infection_count'>1"
"Endpoint - Listening Ports Tracker - Lookup Gen","Maintains a list of all port and protocol combinations listening on each system and the first and last time they were seen","
 tstats min(""_time"") as ""firstTime"",max(""_time"") as ""lastTime"" from datamodel=""Endpoint"".""Ports"" by ""Ports.dest"",""Ports.transport"",""Ports.dest_port"" 
 rename ""Ports.dest"" as ""dest"",""Ports.transport"" as ""transport"",""Ports.dest_port"" as ""dest_port"" 
 eval _key=sha1('dest'.'transport'.'dest_port') 
 lookup ""listeningports_tracker"" ""_key"" OUTPUTNEW ""firstTime"" as ""lookup_firstTime"",""lastTime"" as ""lookup_lastTime"" 
 eval ""firstTime""=min('firstTime','lookup_firstTime'),""lastTime""=max('lastTime','lookup_lastTime') 
 fields - ""lookup_firstTime"",""lookup_lastTime"" 
 outputlookup append=T key_field=_key ""listeningports_tracker"" 
 stats count"
"Endpoint - Local Processes Tracker - Lookup Gen","Maintains a list of all processes on each system and the first and last time they were seen","
 tstats min(_time) as firstTime,max(_time) as lastTime from datamodel=Endpoint.Processes by Processes.dest,Processes.process 
 `drop_dm_object_name(""Processes"")` 
 rex field=process ""^\s*(?<process>[^\s]+)"" 
 eval _key=sha1(dest.""
"".process) 
 lookup localprocesses_tracker _key OUTPUTNEW firstTime as lookup_firstTime, lastTime as lookup_lastTime 
 eval firstTime=min(firstTime, lookup_firstTime),lastTime=max(lastTime, lookup_lastTime) 
 fields - lookup_firstTime, lookup_lastTime 
 outputlookup append=T key_field=_key localprocesses_tracker 
 stats count"
"Endpoint - Malware Daily Count - Model Gen",,"
 tstats dc(Malware_Attacks.signature) as infection_count from datamodel=Malware.Malware_Attacks where earliest=-2d@d latest=-1d@d Malware_Attacks.action=allowed by Malware_Attacks.dest,_time span=1d 
 stats sum(infection_count) as current_count by _time 
 fit DensityFunction current_count partial_fit=true dist=norm into app:malware_infection_count_by_1d"
"Endpoint - Malware Tracker - Lookup Gen","Maintains a list of all detections (regardless of status) for each system and the first and last time they were seen","
 tstats min(""_time"") as ""firstTime"",max(""_time"") as ""lastTime"" from datamodel=""Malware"".""Malware_Attacks"" by ""Malware_Attacks.dest"",""Malware_Attacks.signature"" 
 rename ""Malware_Attacks.dest"" as ""dest"",""Malware_Attacks.signature"" as ""signature"" 
 eval _key=sha1('dest'.'signature') 
 lookup ""malware_tracker"" ""_key"" OUTPUTNEW ""firstTime"" as ""lookup_firstTime"",""lastTime"" as ""lookup_lastTime"" 
 eval ""firstTime""=min('firstTime','lookup_firstTime'),""lastTime""=max('lastTime','lookup_lastTime') 
 fields - ""lookup_firstTime"",""lookup_lastTime"" 
 outputlookup append=T key_field=_key ""malware_tracker"" 
 stats count"
"Endpoint - Old Malware Infection - Rule","Alerts when a host with an old infection is discovered (likely a re-infection).","
 tstats max(_time) as lastTime from datamodel=Malware.Malware_Attacks by Malware_Attacks.signature,Malware_Attacks.dest 
 `drop_dm_object_name(""Malware_Attacks"")` 
 lookup local=true malware_tracker dest,signature OUTPUT firstTime 
 eval dayDiff=round((lastTime-firstTime)/86400,1) 
 search dayDiff>30"
"Endpoint - Outbreak Observed - Rule","Alerts when a potential outbreak is observed based on newly infected systems all exhibiting the same infection","
 tstats dc(""Malware_Attacks.dest"") as ""system_count"",values(""Malware_Attacks.tag"") as ""tag"" from datamodel=""Malware"".""Malware_Attacks""   by ""Malware_Attacks.signature""  
 rename ""Malware_Attacks.signature"" as ""signature"" 
 where 'system_count'>10"
"Endpoint - Recurring Malware Infection - Rule","Alerts when a host has an infection that has been re-infected remove multiple times over multiple days.","
 tstats dc(""Malware_Attacks.date"") as ""day_count"",count from datamodel=""Malware"".""Malware_Attacks""   by ""Malware_Attacks.dest"",""Malware_Attacks.signature"" 
 rename ""Malware_Attacks.dest"" as ""dest"",""Malware_Attacks.signature"" as ""signature"" 
 where 'day_count'>3"
"Endpoint - Services Tracker - Lookup Gen","Maintains a list of all services (and the most recent startmode) for each system and the first and last time they were seen","
 tstats min(_time) as firstTime,max(_time) as lastTime,latest(Services.start_mode) as start_mode from datamodel=Endpoint.Services by Services.dest,Services.service 
 `drop_dm_object_name(""Services"")` 
 inputlookup append=T services_tracker 
 sort 0 - lastTime 
 stats min(firstTime) as firstTime,max(lastTime) as lastTime,first(start_mode) as start_mode by dest,service 
 outputlookup override_if_empty=false services_tracker 
 stats count"
"Endpoint - Should Timesync Host Not Syncing - Rule","Detects when hosts that are required to synchronize their clocks have failed to do so. Time synchronization is important because it ensures that the event logs are stamped with the proper time. Additionally, this is required by some regulatory compliance standards (such as PCI).","
 tstats max(_time) as lastTime from datamodel=Performance.All_Performance where nodename=All_Performance.OS.Timesync All_Performance.OS.Timesync.action=success by All_Performance.dest 
 rename All_Performance.dest as dest 
 `get_asset(dest)` 
 rename dest_* as * 
 `assets` 
 search should_timesync=true 
 stats max(lastTime) as lastTime,first(should_timesync) as should_timesync,values(asset) as dest by asset_id 
 where isnull(lastTime) 
 addinfo 
 eval hourDiff=floor((info_max_time-info_min_time)/3600) 
 fields dest,should_timesync,hourDiff"
