title,description,search
Access - Authentication Tracker - Lookup Gen,"Maintains a list of users that have authenticated to each system and the first, second to last, and last time they have been seen","| tstats `summariesonly` count from datamodel=Authentication.Authentication where Authentication.action=success Authentication.dest!=unknown Authentication.user!=unknown by _time,Authentication.dest,Authentication.user span=1s | `drop_dm_object_name(""Authentication"")` | stats min(_time) as firstTime,values(_time) as second2lastTime,max(_time) as lastTime by dest,user | eval dest=lower(dest),user=lower(user),_key=sha1(dest.""|"".user) | lookup access_tracker _key OUTPUTNEW firstTime as lookup_firstTime, second2lastTime as lookup_second2lastTime, lastTime as lookup_lastTime | eval firstTime=min(firstTime, lookup_firstTime),lastTime=max(lastTime, lookup_lastTime), second2lastTime=mvdedup(mvappend(second2lastTime,NULL,lookup_second2lastTime)), lastTime_vals=mvdedup(mvappend(lastTime,NULL,lookup_lastTime)) | eval `get_second2lastTime_meval(second2lastTime,lastTime_vals,lastTime)` | eventstats min(firstTime) as firstTime_user,max(lastTime) as lastTime_user by user  | fields - lastTime_vals, lookup_firstTime, lookup_lastTime, lookup_second2lastTime | outputlookup append=T key_field=_key access_tracker | stats count"
Access - Authentication Volume Per Day - Model Gen,,| tstats `summariesonly` count as current_count from datamodel=Authentication.Authentication by _time span=1d | fit DensityFunction current_count partial_fit=true dist=norm into app:authentication_count_1d
Access - Brute Force Access Behavior Detected - Rule,Detects excessive number of failed login attempts along with a successful attempt (this could indicate a successful brute force attack),"| from datamodel:""Authentication"".""Authentication"" | stats values(tag) as tag,values(app) as app,count(eval('action'==""failure"")) as failure,count(eval('action'==""success"")) as success by src | search success>0 | `mltk_apply_upper(""app:failures_by_src_count_1h"", ""high"", ""failure"")`"
Access - Brute Force Access Behavior Detected Over 1d - Rule,"Detects an excessive number of failed login attempts, along with a successful attempt, over a one day period (this could indicate a successful brute force attack)","| tstats `summariesonly` values(Authentication.app) as app,count from datamodel=Authentication.Authentication by Authentication.action,Authentication.src | `drop_dm_object_name(""Authentication"")` | eval success=if(action=""success"",count,0),failure=if(action=""failure"",count,0) | stats values(app) as app,sum(failure) as failure,sum(success) as success by src | where success > 0 | `mltk_apply_upper(""app:failures_by_src_count_1d"", ""medium"", ""failure"")`"
Access - Cleartext Password At Rest - Rule,Detects cleartext passwords being stored at rest (such as in the Unix passwd file),"| from datamodel:""Compute_Inventory"".""Cleartext_Passwords"" | stats max(""_time"") as ""lastTime"",latest(""_raw"") as ""orig_raw"",values(""tag"") as ""tag"",count by ""dest"",""user"",""password"""
Access - Completely Inactive Account - Rule,Discovers accounts that are no longer used. Unused accounts should be disabled and are oftentimes used by attackers to gain unauthorized access.,"| from inputlookup:access_tracker | stats min(firstTime) as firstTime,max(lastTime) as lastTime by user | where ((now()-'lastTime')/86400)>90"
Access - Concurrent App Accesses - Rule,Alerts on concurrent access attempts to an app from different hosts. These are good indicators of shared passwords and potential misuse.,"| tstats `summariesonly` count from datamodel=Authentication.Authentication by _time,Authentication.app,Authentication.src,Authentication.user span=1s | `drop_dm_object_name(""Authentication"")` | eventstats dc(src) as src_count by app,user | search src_count>1 | sort 0 + _time | streamstats current=t window=2 earliest(_time) as previous_time,earliest(src) as previous_src by app,user | where (src!=previous_src) | eval time_diff=abs(_time-previous_time) | where time_diff<300"
Access - Default Account Usage - Rule,"Discovers use of default accounts (such as admin, administrator, etc.). Default accounts have default passwords and are therefore commonly targeted by attackers using brute force attack tools.","| from datamodel:""Authentication"".""Successful_Default_Authentication"" | stats max(""_time"") as ""lastTime"",values(""tag"") as ""tag"",count by ""dest"",""user"",""app"""
Access - Default Account Usage Over Time,,| `tstats` count from datamodel=Authentication.Authentication where nodename=Authentication.Default_Authentication Authentication.action=success by _time span=1h | timechart minspan=1h count
Access - Default Account Usage Over Time By App,,"| `tstats` count from datamodel=Authentication.Authentication where nodename=Authentication.Default_Authentication Authentication.action=success by _time,Authentication.app span=1h | timechart minspan=1h count by Authentication.app | `drop_dm_object_name(""Authentication"")`"
Access - Default Accounts At Rest - Rule,Discovers the presence of default accounts even if they are not being used. Default accounts should be disabled in order to prevent an attacker from using them to gain unauthorized access to remote hosts.,"| from datamodel:""Compute_Inventory"".""Default_Accounts"" | where NOT match('enabled', ""0|[Ff]|[Ff][Aa][Ll][Ss][Ee]"") AND NOT 'status'==""Degraded"" AND NOT like('shell',""%nologin"") AND NOT like('shell',""%false"") AND 'user'!=""root"" | stats max(""_time"") as ""lastTime"",latest(""_raw"") as ""orig_raw"",values(""tag"") as ""tag"",count by ""dest"",""user"""
Access - Default Accounts In Use,,"| tstats `summariesonly` max(_time) as _time,values(Authentication.user_category) as user_category,dc(Authentication.dest) as dc(dest) from datamodel=Authentication.Authentication where Authentication.user_category=default by Authentication.user | `drop_dm_object_name(""Authentication"")` | sort 100 - _time | fields _time,user,user_category,dc(dest)"
Access - Default Local Accounts,,"| `useraccounts_tracker` | search user_category=default | stats max(lastTime) as _time,values(user_category) as user_category,dc(dest) as dc(dest) by user | sort 100 - _time | fields _time,user,user_category,dc(dest)"
Access - Distinct Apps,,"| makeresults | eval current_count=0, historical_count=0, delta=0"
Access - Distinct Destinations,,"| makeresults | eval current_count=10, historical_count=11, delta=-1"
Access - Distinct Sources,,"| makeresults | eval current_count=39, historical_count=38, delta=1"
Access - Distinct Users,,"| makeresults | eval current_count=324, historical_count=323, delta=1"
Access - Excessive Failed Logins - Rule,Detects excessive number of failed login attempts (this is likely a brute force attack),"| from datamodel:""Authentication"".""Failed_Authentication"" | stats values(""tag"") as ""tag"",dc(""user"") as ""user_count"",dc(""dest"") as ""dest_count"",count by ""app"",""src"" | where 'count'>=6"
Access - First Time Account Access,,"| from inputlookup:access_tracker | stats min(firstTime) as firstTime,values(dest) as dest by user | sort 100 - firstTime | `uitime(firstTime)` | fields dest user firstTime"
Access - First Time Account Access Over Time,,"| inputlookup append=T access_tracker where `tracker_trp(firstTime_user,firstTime_user)` | rename firstTime as _time | timechart count"
Access - Geographically Improbable Access - Summary Gen,,"| `tstats` min(_time),earliest(Authentication.app) from datamodel=Authentication.Authentication where Authentication.action=""success"" by Authentication.src,Authentication.user | eval psrsvd_ct_src_app='psrsvd_ct_Authentication.app',psrsvd_et_src_app='psrsvd_et_Authentication.app',psrsvd_ct_src_time='psrsvd_ct__time',psrsvd_nc_src_time='psrsvd_nc__time',psrsvd_nn_src_time='psrsvd_nn__time',psrsvd_vt_src_time='psrsvd_vt__time',src_time='_time',src_app='Authentication.app',user='Authentication.user',src='Authentication.src' | lookup asset_lookup_by_str asset as ""src"" OUTPUTNEW lat as ""src_lat"",long as ""src_long"",city as ""src_city"",country as ""src_country"" | lookup asset_lookup_by_cidr asset as ""src"" OUTPUTNEW lat as ""src_lat"",long as ""src_long"",city as ""src_city"",country as ""src_country"" | iplocation src | search (src_lat=* src_long=*) OR (lat=* lon=*) | eval src_lat=if(isnotnull(src_lat),src_lat,lat),src_long=if(isnotnull(src_long),src_long,lon),src_city=case(isnotnull(src_city),src_city,isnotnull(City),City,1=1,""unknown""),src_country=case(isnotnull(src_country),src_country,isnotnull(Country),Country,1=1,""unknown"") | stats earliest(src_app) as src_app,min(src_time) as src_time by src,src_lat,src_long,src_city,src_country,user | eval key=src.""@@"".src_time.""@@"".src_app.""@@"".src_lat.""@@"".src_long.""@@"".src_city.""@@"".src_country | eventstats dc(key) as key_count,values(key) as key by user | search key_count>1 | stats first(src_app) as src_app,first(src_time) as src_time,first(src_lat) as src_lat,first(src_long) as src_long,first(src_city) as src_city,first(src_country) as src_country by src,key,user | rex field=key ""^(?<dest>.+?)@@(?<dest_time>.+?)@@(?<dest_app>.+)@@(?<dest_lat>.+)@@(?<dest_long>.+)@@(?<dest_city>.+)@@(?<dest_country>.+)"" | where src!=dest | eval key=mvsort(mvappend(src.""->"".dest, NULL, dest.""->"".src)),units=""m"" | dedup key, user | `globedistance(src_lat,src_long,dest_lat,dest_long,units)` | eval speed=distance/(abs(src_time-dest_time+1)/3600) | where speed>=500 | fields user,src_time,src_app,src,src_lat,src_long,src_city,src_country,dest_time,dest_app,dest,dest_lat,dest_long,dest_city,dest_country,distance,speed | eval _time=now()"
Access - Geographically Improbable Access Detected - Rule,Alerts on access attempts that are improbable based on time and geography.,"index=gia_summary source=""Access - Geographically Improbable Access - Summary Gen"" | fields user,src_time,src_app,src,src_lat,src_long,src_city,src_country,dest_time,dest_app,dest,dest_lat,dest_long,dest_city,dest_country,distance,speed"
Access - High or Critical Priority Individual Logging into Infected Machine - Rule,Detects users with a high or critical priority logging into a malware infected machine,"| tstats `summariesonly` values(Authentication.user) as ""user"" from datamodel=Authentication.Authentication where earliest=-70m@m latest=+0s nodename=Authentication.Successful_Authentication (""Authentication.user_priority""=""high"" OR ""Authentication.user_priority""=""critical"") by ""Authentication.dest"" | rename ""Authentication.dest"" as ""dest"" | eval cs_key='dest' | join type=inner cs_key [| tstats summariesonly=false values(Malware_Attacks.signature) as ""signature"" from datamodel=Malware.Malware_Attacks where earliest=-1450m@m latest=+0s nodename=Malware_Attacks.Allowed_Malware  by ""Malware_Attacks.dest"" | rename ""Malware_Attacks.dest"" as ""dest"" | eval cs_key='dest']"
Access - Inactive Account Usage,,"| `inactive_account_usage(90,24)` | sort 100 - lastTime | `uitime(second2lastTime)` | `uitime(lastTime)` | fields user second2lastTime lastTime inactiveDays"
Access - Inactive Account Usage - Rule,Discovers previously inactive accounts that are now being used. This may be due to an attacker that successfully gained access to an account that was no longer being used.,"| `inactive_account_usage(""90"",""2"")` | `ctime(lastTime)` | fields + user,tag,inactiveDays,lastTime"
Access - Inactive Accounts,,| `inactive_accounts(90)` | sort 100 + lastTime | `uitime(lastTime)` | fields user lastTime inactiveDays
Access - Insecure Or Cleartext Authentication - Rule,Detects authentication requests that transmit the password over the network as cleartext (unencrypted),"| from datamodel:""Authentication"".""Insecure_Authentication"" | stats max(""_time"") as ""lastTime"",latest(""_raw"") as ""orig_raw"",values(""tag"") as ""tag"",count by ""app"",""dest"""
Access - Notable Access Events,,`notable` | search security_domain=access | stats sum(count) as count by rule_name
Access - Number Of Default Accounts In Use,,"| makeresults | eval current_count=5, historical_count=5, delta=0"
Access - Privileged Account Usage Over Time,,| `tstats` count from datamodel=Authentication.Authentication where nodename=Authentication.Privileged_Authentication by _time span=1h | timechart span=1h count
Access - Privileged Accounts In Use,,"| tstats `summariesonly` values(Authentication.user_category) as user_category,dc(Authentication.dest) as dest_count,max(_time) as lastTime from datamodel=Authentication.Authentication where Authentication.user_category=privileged by Authentication.user | `drop_dm_object_name(""Authentication"")` | sort 100 - lastTime | `uitime(lastTime)`"
Access - Short-lived Account Detected - Rule,Detects when a account or credential is created and then removed a short time later. This may be an indication of malicious activities.,"| tstats `summariesonly` count from datamodel=Change.All_Changes where nodename=""All_Changes.Account_Management"" (All_Changes.action=""created"" OR All_Changes.action=""deleted"") by _time,All_Changes.dest,All_Changes.user span=1s | `drop_dm_object_name(""All_Changes"")` | streamstats range(_time) as delta,sum(count) as count by user,dest window=2 global=f | where count>1 AND delta<`useraccount_minimal_lifetime` | `uptime2string(delta,timestr)` | table user, dest, delta, timestr"
Access - Top Access By Destination,,"| tstats `summariesonly` count from datamodel=Authentication.Authentication by _time,Authentication.dest span=1h | `drop_dm_object_name(""Authentication"")` | stats sparkline(sum(count),1h) as sparkline,sum(count) as count by dest | sort - count"
Access - Top Access By Source,,"| tstats `summariesonly` count from datamodel=Authentication.Authentication by _time,Authentication.src span=1h | `drop_dm_object_name(""Authentication"")` | stats sparkline(sum(count),1h) as sparkline,sum(count) as count by src | sort - count"
Access - Total Access Attempts,,"| makeresults | eval current_count=45976, historical_count=33515, delta=12461"
Access - Unique Access By App Count,,"| tstats `summariesonly` values(Authentication.app) as app,count from datamodel=Authentication.Authentication by _time,Authentication.src span=1h | `drop_dm_object_name(""Authentication"")` | stats sparkline(sum(count),1h) as sparkline,dc(app) as app_count by src | sort - app_count"
Access - Unique Access By Destination Count,,"| tstats `summariesonly` values(Authentication.dest) as dest,count from datamodel=Authentication.Authentication by _time,Authentication.src span=1h | `drop_dm_object_name(""Authentication"")` | stats sparkline(sum(count),1h) as sparkline,dc(dest) as dest_count by src | sort - dest_count"
Access - Unique Access By User Count,,"| tstats `summariesonly` values(Authentication.user) as user,count from datamodel=Authentication.Authentication by _time,Authentication.src span=1h | `drop_dm_object_name(""Authentication"")` | stats sparkline(sum(count),1h) as sparkline,dc(user) as user_count by src | sort - user_count"
App State - Ports By System Count,,"| tstats `summariesonly` dc(Ports.dest) as dest_count from datamodel=Endpoint.Ports by Ports.transport,Ports.dest_port | `drop_dm_object_name(""Ports"")` | sort 100 - dest_count"
App State - Processes By System Count,,"| tstats `summariesonly` max(_time) as _time from datamodel=Endpoint.Processes by Processes.dest,Processes.process_name | `drop_dm_object_name(""Processes"")` | eventstats max(_time) as lastReportTime by dest | where _time==lastReportTime | stats dc(dest) as dest_count by process_name | sort 100 - dest_count"
App State - Services By System Count,,"| tstats `summariesonly` dc(Services.dest) as dest_count from datamodel=Endpoint.Services by Services.service | `drop_dm_object_name(""Services"")` | sort 100 - dest_count"
App State - Systems By Port Count,,"| tstats `summariesonly` dc(Ports.transport_dest_port) as port_count from datamodel=Endpoint.Ports by Ports.dest | `drop_dm_object_name(""Ports"")` | sort 10 - port_count"
App State - Systems By Process Count,,"| tstats `summariesonly` max(_time) as _time from datamodel=Endpoint.Processes by Processes.dest,Processes.process | `drop_dm_object_name(""Processes"")` | eventstats max(_time) as lastReportTime by dest | where _time==lastReportTime | stats dc(process) as process_count by dest | sort 10 - process_count"
App State - Systems By Service Count,,"| tstats `summariesonly` dc(Services.service) as service_count from datamodel=Endpoint.Services by Services.dest | `drop_dm_object_name(""Services"")` | sort 10 - service_count"
APT1 Detection,,index=asx threat_actors=APT1 | stats values(threat_actors) AS threat_actor values(source) as detections values(process) as processes values(user) as users values(_time) as time count by dest
Asset - Asset Ownership Unspecified - Rule,Alerts when there are assets that define a specific priority and category but do not have an assigned owner.,"| from datamodel:""Identity_Management"".""All_Assets"" | where isnotnull('priority') AND len('priority')>0 AND isnotnull('category') AND len('category')>0 AND (isnull('owner') OR len('owner')==0) AND (isnull('ip') OR len('ip')==0 OR mvcount('ip')==1) | stats count | where 'count'>0 | eval const_dedup_id=""const_dedup_id"""
Assets - Asset Information,,"| from datamodel:""Identity_Management"".""All_Assets"" | fields dns,nt_host,ip,mac,owner,priority,city,country,lat,long,bunit,category"
Assets - Assets By Business Unit,,"| pivot Identity_Management All_Assets count(All_Assets) AS ""count"" SPLITROW bunit AS ""bunit"" | sort - count"
Assets - Assets By Category,,"| pivot Identity_Management All_Assets count(All_Assets) AS ""count"" SPLITROW category AS ""category"" | sort - count"
Assets - Assets By Priority,,"| pivot Identity_Management All_Assets count(All_Assets) AS ""count"" SPLITROW priority AS ""priority"" | sort - count"
Audit - Active Risk Factors Usage - Telemetry Gen,Sends anonymous usage statistics pertaining to the usage of risk_factors,"| rest splunk_server=local count=0 /servicesNS/nobody/SplunkEnterpriseSecuritySuite/alerts/risk_factors | spath input=conditions | rename {}.field as fields_used | where disabled!=1 | eventstats count as total | mvexpand fields_used | eval fields_used=if(fields_used in (""control"", ""creator"", ""dest"", ""dest_bunit"", ""dest_category"", ""dest_priority"", ""governance"", ""risk_message"", ""risk_object_bunit"", ""risk_object_category"", ""risk_object_priority"", ""savedsearch_description"", ""src"", ""src_bunit"", ""src_category"", ""src_priority"", ""tag"", ""threat_object"", ""user"", ""user_bunit"", ""user_category"", ""user_priority"", ""risk_object_type"", ""risk_score"", ""threat_object_type"", ""risk_object"", ""user_watchlist""), fields_used, ""other"") | eventstats count by fields_used | makejson fields_used, count output=fields_info| stats values(fields_info) as fields_info, max(total) as total| makejson fields_info, total output=event | table event"
Audit - Active Users - Telemetry Gen,Sends anonymous usage statistics pertaining to the unique number of active users.,"| tstats summariesonly=false count from datamodel=Splunk_Audit.View_Activity where (View_Activity.app=""SplunkEnterpriseSecuritySuite"" OR View_Activity.app=""Splunk_DA-ESS*"") by View_Activity.user | join user [| rest splunk_server=local count=0 /servicesNS/nobody/search/authentication/users | rename title as user | table title,roles] | stats count(eval(roles=""admin"" or roles=""sc_admin"" or roles=""ess_admin"")) as data.admin_count,count(eval(roles=""ess_analyst"")) as data.analyst_count,count(eval(roles=""ess_user"")) as data.user_count,count as data.count | addinfo | eval version=""1.0"",begin=floor(info_min_time),end=floor(info_max_time) | makejson version(string),begin(int),end(int),data.* output=event | table event"
Audit - Annotations Usage - Telemetry Gen,Sends anonymous statistics pertaining to the usage of annotations in correlation searches.,"| from lookup:correlationsearches_lookup | spathannotations | fields annotations* | stats dc(annotations._all) as unique_annotation_count,dc(annotations._frameworks) as unique_framework_count,count(eval(isnotnull(annotations) AND annotations!=""{}"")) as searches_with_annotations,count(eval(isnotnull('annotations.mitre_attack'))) as searches_with_mitre_attack,count(eval(isnotnull('annotations.cis20'))) as searches_with_cis20,count(eval(isnotnull('annotations.kill_chain_phases'))) as searches_with_kill_chain_phases,count(eval(isnotnull('annotations.nist'))) as searches_with_nist | rename * as data.* | eval version=""1.0"" | makejson version(string),data.* output=event | table event"
Audit - Anomalous Audit Trail Activity Detected - Rule,"Discovers anomalous activity such as the deletion of or clearing of log files. Attackers oftentimes clear the log files in order to hide their actions, therefore, this may indicate that the system has been compromised.","| from datamodel:""Change"".""Auditing_Changes"" | where ('action'=""cleared"" OR 'action'=""stopped"") | stats max(""_time"") as ""lastTime"",latest(""_raw"") as ""orig_raw"",count by ""dest"",""result"" | rename ""result"" as ""signature"""
Audit - Custom XS Saved Searches,,"| rest /services/saved/searches count=0 splunk_server=local | where match(search, ""\|\s*xs"") | stats count | where count>0"
Audit - Datamodel Distribution - Telemetry Gen,Sends anonymous statistics pertaining to the usage of datamodels.,"| from datamodel:Splunk_Audit.Datamodel_Acceleration | rename datamodel as data.datamodel,size as data.size | lookup update=true es_instrumentation_datamodels datamodel as data.datamodel OUTPUT datamodel as is_ok | appendpipe [where isnull(is_ok) | stats sum(data.size) as data.size | eval ""data.datamodel""=""other"",is_ok=""true""] | eventstats sum(data.size) as total_size | where isnotnull(is_ok) | eval version=""1.0"",""data.perc""=round('data.size'/total_size*100, 2) | makejson version(string),data.* output=event | table event"
Audit - Default Admin Search All Non-Internal,,"| rest /services/authorization/roles/admin splunk_server=* count=0 | eval is_asterisk=if(srchIndexesDefault == ""*"", 1, 0) | where is_asterisk=1 | fields splunk_server, srchIndexesDefault"
Audit - Default Admin Search Indexes,,"| rest /services/authorization/roles/admin splunk_server=* count=0 | where match(srchIndexesDefault, ""^(.*summary[0-9]?|notable)$"") | fields splunk_server, srchIndexesDefault | eval srchIndexesDefault=mvjoin(srchIndexesDefault, "","")"
Audit - Deprecated Threat Intelligence Manager Inputs Detected,,"| rest /services/configs/conf-inputs count=0 splunk_server=local | search title=""threat_intelligence_manager"" OR title=""threat_intelligence_manager://*""| stats values(title) AS title, count | where count > 0"
Audit - ES System Requirements,,"| rest splunk_server=* count=0 /services/server/info | eval numberOfVirtualCores=if(isnum(numberOfVirtualCores) AND numberOfVirtualCores>0,numberOfVirtualCores,null()) | where ((server_roles=""search_head"" AND (max(numberOfCores,numberOfVirtualCores)<16 OR physicalMemoryMB<32000)) OR (server_roles=""indexer"" AND (max(numberOfCores,numberOfVirtualCores)<16 OR physicalMemoryMB<32000))) | fields + splunk_server,server_roles,numberOfCores,numberOfVirtualCores,physicalMemoryMB"
Audit - ES View Activity Over Time,,"| `tstats` count from datamodel=Splunk_Audit.View_Activity where `es_context_only(""View_Activity"")` by _time,View_Activity.view span=1h | timechart span=1h useother=`useother` count by View_Activity.view | `drop_dm_object_name(""View_Activity"")`"
Audit - Event Count Over Time By Top 10 Hosts,,"| `tstats` count where index=* [| metadata type=hosts | `lower(host)` | sort 10 - totalCount | fields host | format] by _time,host | timechart useother=`useother` count by host"
Audit - Events Per Day - Lookup Gen,Maintains a list of event counts per day per index,"index=_internal source=*metrics.log* group=thruput name=idxSummary | bin _time span=1d | stats sum(ev) as count by _time,series | rename series as index | eval key=_time.""|"".index | outputlookup key_field=key licensing_epd | stats count"
Audit - Expected ES View Activity,,"| `expected_view_tracker(""-7d"")` | eval view=app.""|"".view | bin _time span=1d | `ctime(_time,""%m-%d-%Y"")` | chart sum(count) as count over view by _time | rex field=view ""(?<app>[^|]+)\|(?<view>.*)"" | fields app,view,*"
Audit - Expected Host Not Reporting - Rule,Discovers hosts that are longer reporting events but should be submitting log events. This rule is used to monitor hosts that you know should be providing a constant stream of logs in order to determine why the host has failed to provide log data.,"| `host_eventcount(30,2)` | search is_expected=true | `ctime(lastTime)` | fields + host,lastTime,is_expected,tag,dayDiff"
Audit - Extreme Search Content in ES,,"| rest /services/saved/searches count=0 splunk_server=local | where match(search, ""\|\s*xs"") | table eai:acl.app, title, search, cron_schedule, dispatch.earliest_time, dispatch.latest_time"
Audit - Failed Threatlist Downloads,,"index=_internal sourcetype=threatintel:download file=""threatlist.py:download_*"" NOT (status=""*starting"" OR status=""retrying download"" OR status=""threat list downloaded"" OR status=""Retrieved document from TAXII feed"" OR status=""Retrieved documents from TAXII feed"") | stats latest(status) as status, latest(_time) as _time by stanza, host, url"
Audit - Feature Usage - Telemetry Gen,Sends anonymous usage statistics pertaining to the number of view loads.,"| tstats summariesonly=false avg(View_Activity.spent) as data.avg_spent,count as data.count from datamodel=Splunk_Audit.View_Activity where (View_Activity.app=""SplunkEnterpriseSecuritySuite"" OR View_Activity.app=""Splunk_DA-ESS*"") by View_Activity.view | rename View_Activity.view as data.view | lookup local=true es_instrumentation_views view as data.view OUTPUT view as is_ok | appendpipe [where isnull(is_ok) | eval weighted_avg='data.avg_spent'*'data.count' | stats sum(weighted_avg) as weighted_avg,sum(data.count) as data.count | eval ""data.avg_spent""=weighted_avg/'data.count',""data.view""=""other"",is_ok=""true""] | where isnotnull(is_ok) | addinfo | eval version=""1.0"",begin=floor(info_min_time),end=floor(info_max_time),""data.avg_spent""=floor('data.avg_spent') | makejson version(string),begin(int),end(int),data.* output=event | table event"
Audit - Hosts By Last Report Time,,| `host_eventcount` | rename totalCount as count | `uitime(firstTime)` | `uitime(lastTime)` | table host is_expected firstTime lastTime count dayDiff
Audit - Identity Manager Usage - Telemetry Gen,Sends anonymous statistics pertaining to the usage of the Identity Manager.,"| rest splunk_server=local count=0 /services/data/inputs/identity_manager | lookup es_instrumentation_identity_managers input as title,target OUTPUT input as is_ootb | rex field=url ""lookup://(?<outputlookup>.*)"" | join type=left outputlookup [| rest splunk_server=local count=0 /services/saved/searches search=""search=*outputlookup*"" | rex max_match=5 field=search ""\|\s*outputlookup(?<outputlookup>.*?)(?:\||$)"" | eval outputlookup=split(outputlookup, "" ""),outputlookup=trim(mvfilter(!(outputlookup LIKE ""%=%"") AND trim(outputlookup)!=""""), ""\""""),savedsearch=title,spl=search | table outputlookup, savedsearch, spl] | stats count(eval(target=""asset"")) as asset_count,count(eval(target=""asset"" AND isnotnull(blacklist_fields) and blacklist_fields!="""")) as asset_blacklist_count,count(eval(target=""asset"" AND isnull(is_ootb))) as asset_custom_count,count(eval(target=""asset"" AND disabled=0)) as asset_enabled_count,count(eval(target=""asset"" AND match(spl, ""\|\s*ldapsearch""))) as asset_ldap_count,count(eval(target=""asset"" AND isnotnull(savedsearch))) as asset_search_count,count(eval(target=""identity"")) as identity_count,count(eval(target=""identity"" AND isnotnull(blacklist_fields) and blacklist_fields!="""")) as identity_blacklist_count,count(eval(target=""identity"" AND isnull(is_ootb))) as identity_custom_count,count(eval(target=""identity"" AND disabled=0)) as identity_enabled_count,count(eval(target=""identity"" AND match(spl, ""\|\s*ldapsearch""))) as identity_ldap_count,count(eval(target=""identity"" AND isnotnull(savedsearch))) as identity_search_count,count as total_count,count(eval(isnotnull(blacklist_fields) and blacklist_fields!="""")) as total_blacklist_count,count(eval(isnull(is_ootb))) as total_custom_count,count(eval(disabled=0)) as total_enabled_count,count(eval(match(spl, ""\|\s*ldapsearch""))) as total_ldap_count,count(eval(isnotnull(savedsearch))) as total_search_count | appendcols [| rest splunk_server=local count=0 /services/configs/conf-inputs/identity_manager search=""name=default"" | spath input=field_spec output=asset path=asset{}.name | spath input=field_spec output=identity path=identity{}.name | table asset, identity | transpose column_name=""target"" | rename ""row 1"" as field | mvexpand field | lookup es_instrumentation_identity_fields target,field OUTPUT field as is_ootb | stats count(eval(target=""asset"" AND isnull(is_ootb))) as asset_custom_fields,count(eval(target=""identity"" AND isnull(is_ootb))) as identity_custom_fields] | rename * as data.* | eval version=""1.0"" | makejson version(string),data.* output=event | table event"
Audit - Index Readiness,,"| tstats count as ev where (index=* OR index=_*) by index | append [|rest splunk_server=* count=0 /services/data/indexes | dedup title | eval index=title, ev=0 | fields index, ev] | stats sum(ev) as count by index | eval readiness=if(count>0, 1, 0) | outputlookup key_field=index index_readiness_lookup | stats count"
